NomFile;Group;Tipo RNA;Treatment;ShortName
GSM431552;NRO_NoTet;NRO;No Tet;U7 NRO
GSM431553;NRO_NoTet;NRO;No Tet;U6 NRO
GSM431554;NRO_NoTet;NRO;No Tet;U5 NRO
GSM431555;NRO_NoTet;NRO;No Tet;U4 NRO
GSM431556;NRO_Tet;NRO;Tet maintained;T7 NRO
GSM431557;NRO_Tet;NRO;Tet maintained;T6 NRO
GSM431558;NRO_Tet;NRO;Tet maintained;T5 NRO
GSM431559;NRO_Tet;NRO;Tet maintained;T4 NRO
GSM431560;Total_Tet;Total;Tet maintained;T4 Total
GSM431561;Total_Tet;Total;Tet maintained;T5 Total
GSM431562;Total_Tet;Total;Tet maintained;T6 Total
GSM431563;Total_Tet;Total;Tet maintained;T7 Total
GSM431564;Total_NoTet;Total;No Tet;U4 Total
GSM431565;Total_NoTet;Total;No Tet;U5 Total
GSM431566;Total_NoTet;Total;No Tet;U6 Total
GSM431567;Total_NoTet;Total;No Tet;U7 Total
